genes	cluster
X110738115	1
X110707033	1
X110691409	1
X110701631	1
X110706852	1
X110695192	1
X110737646	1
X110717458	1
X110695319	1
X110720588	1
X110738047	1
X110713214	1
X110722675	1
X110720427	1
X110721078	1
X110692697	1
X110722286	1
X110702086	1
X110693902	1
X110684228	1
X110718127	1
X110687668	1
X110685808	1
X110717183	1
X110729068	1
X110695761	1
X110709378	1
X110722642	1
X110701056	1
X110684665	1
X110726507	1
X110725199	1
X110687880	1
X110705555	1
X110717537	1
X110703428	1
X110708478	1
X110719325	1
X110709136	1
X110713460	1
X110728839	1
X110719348	1
X110712941	1
X110720894	1
X110712792	1
X110715336	1
X110719009	1
X110709676	1
X110709859	1
X110701035	1
X110706995	1
X110684247	1
X110689168	1
X110719441	1
X110711061	1
X110694192	1
X110719550	1
X110718713	1
X110714100	1
X110698084	1
X110733325	1
X110697163	1
X110701158	1
X110689637	1
X110685985	1
X110686141	1
X110684446	1
X110707942	1
X110732216	2
X110711856	2
X110713808	2
X110689255	2
X110714799	2
X110683275	2
X110701034	2
X110692978	2
X110682543	2
X110718318	2
X110693173	2
X110720350	2
X110724534	2
X110693992	2
X110687452	2
X110695977	2
X110697132	2
X110732723	2
X110724770	2
X110738480	2
X110739588	2
X110698607	2
X110715590	2
X110732736	2
X110733539	2
X110690807	2
X110699031	2
X110714977	2
X110689598	2
X110719466	2
X110708120	2
X110701979	2
X110689372	2
X110734507	2
X110711089	2
X110709916	2
X110689194	2
X110689198	2
X110692760	2
X110720415	2
X110721130	2
X110718641	2
X110723276	2
X110731823	2
X110686448	2
X110717822	2
X110702384	2
X110715500	2
X110725859	2
X110711439	2
X110714746	2
X110689005	2
X110737051	2
X110705586	2
X110730335	2
X110693525	2
X110708023	2
X110715942	2
X110720086	2
X110707110	2
X110700102	2
X110695300	2
X110698296	2
X110714518	2
X110714789	2
X110685944	2
X110693831	2
X110698140	2
X110716097	2
X110706487	2
X110718427	2
X110729730	2
X110689232	2
X110697152	2
X110732640	2
X110712551	2
X110687283	2
X110716991	2
X110702040	2
X110733033	2
X110691791	2
X110698785	2
X110733873	2
X110710540	2
X110722735	2
X110709609	2
X110684621	2
X110739846	2
X110717386	2
