genes	cluster
X110681938	2
X110709060	2
X110687985	2
X110734409	2
X110725443	2
X110730131	2
X110695099	2
X110716634	2
X110686250	2
X110738345	2
X110709735	2
X110731462	2
X110705715	2
X110722664	2
X110689649	2
X110733571	2
X110710761	2
X110721215	2
X110688726	2
X110714046	2
X110684278	2
X110709782	2
X110721474	2
X110712184	2
X110734293	2
X110740226	2
X110711398	2
X110726829	2
X110735197	2
X110735831	2
X110716244	2
X110688142	2
X110699073	2
X110711727	2
X110688187	2
X110690943	2
X110716548	2
X110699181	2
X110687953	2
X110699013	2
X110719498	2
X110691777	2
X110727963	2
X110684166	2
X110701920	2
X110715545	2
X110691916	2
X110726815	2
X110698037	2
X110722435	2
X110738353	2
X110712365	2
X110700495	2
X110691395	2
X110718452	2
X110722322	2
X110709826	2
X110727995	2
X110702480	2
X110712772	2
X110687490	2
X110705508	2
X110733330	2
X110730879	2
X110705957	2
X110694728	2
X110713829	2
X110717404	2
X110719663	2
X110707919	2
X110695095	2
X110714855	2
X110731103	2
X110695743	2
X110723234	2
X110730869	2
X110699008	2
X110688385	2
X110720876	2
X110712641	2
X110717151	2
X110705148	2
X110683521	2
X110736483	2
X110699271	2
X110724264	2
X110711714	2
X110682351	2
X110711840	2
X110713545	2
X110732737	2
X110740319	2
X110691233	2
X110717855	2
X110723753	2
X110691374	2
X110719387	2
X110682294	2
X110710793	2
X110693822	2
X110700126	2
X110682527	2
X110732555	2
X110686939	2
X110685204	2
X110728065	2
X110715859	2
X110738375	2
X110695140	2
X110715360	2
X110718552	2
X110717854	2
X110697943	2
X110737380	2
X110725730	2
X110728089	2
X110695077	2
X110698436	2
X110738734	2
X110703815	2
X110739398	2
X110697412	2
X110724687	2
X110704170	2
X110732595	2
X110690454	2
X110701163	2
X110706627	2
X110728017	2
X110729737	2
X110688999	2
X110690396	2
X110692989	2
X110718679	2
X110726545	2
X110739617	2
X110695992	2
X110733312	2
X110730525	2
X110739431	2
X110705605	2
X110722603	2
X110718531	2
X110712610	2
X110713914	2
X110713889	2
X110684864	2
X110714030	2
X110690704	2
X110731641	2
X110692991	2
X110715931	2
X110702757	2
X110708587	2
X110715085	2
X110719696	2
X110718526	2
X110699256	2
X110699749	2
X110684288	2
X110722666	2
X110721810	2
X110733309	2
X110721970	2
X110729478	2
X110715022	2
X110685553	2
X110687903	2
X110723923	2
X110726546	2
X110707070	2
X110688520	2
X110697876	2
X110712352	2
X110718792	2
X110718858	2
X110700624	2
X110703375	2
X110710853	2
X110694878	2
X110708084	2
X110682878	2
X110711014	2
X110718793	2
X110721014	2
X110701098	2
X110688515	2
X110702076	2
X110735075	2
X110699951	2
X110717792	2
X110702497	2
X110704923	2
X110718741	2
X110689735	2
X110728940	2
X110729764	2
X110736427	2
X110692773	2
X110688295	2
X110687240	2
X110734720	2
X110688217	2
X110729700	2
X110724857	2
X110681811	2
X110708076	2
X110726396	2
X110729524	2
X110710725	2
X110692822	2
X110720912	2
X110693757	2
X110732433	2
X110710781	2
X110735393	2
X110719791	2
X110730937	2
X110702856	2
X110723050	2
X110732642	2
X110718895	2
X110705162	2
X110707497	2
X110701730	2
X110722674	2
X110715796	2
X110696010	2
X110711794	2
X110738115	2
X110707033	2
X110691409	2
X110701631	2
X110691116	2
X110737646	2
X110698535	2
X110694145	2
X110713214	2
X110722675	2
X110693211	2
X110720427	2
X110721078	2
X110692697	2
X110716316	2
X110734370	2
X110722286	2
X110702086	2
X110693902	2
X110732182	2
X110684228	2
X110712418	2
X110718127	2
X110685808	2
X110717183	2
X110733632	2
X110724440	2
X110727699	2
X110729068	2
X110703433	2
X110695761	2
X110722642	2
X110701056	2
X110684665	2
X110726507	2
X110725199	2
X110687880	2
X110717537	2
X110709136	2
X110728839	2
X110684675	2
X110719348	2
X110712941	2
X110720894	2
X110712792	2
X110724256	2
X110719009	2
X110709676	2
X110709859	2
X110699350	2
X110706995	2
X110689168	2
X110698522	2
X110719550	2
X110687860	2
X110718713	2
X110714100	2
X110708728	2
X110698084	2
X110733325	2
X110706996	2
X110701158	2
X110689637	2
X110686141	2
X110684446	2
X110715976	2
X110707942	2
X110732216	3
X110711856	3
X110689657	3
X110705613	3
X110736108	3
X110692978	3
X110722767	3
X110704977	3
X110718318	3
X110716267	3
X110720877	3
X110716624	3
X110693992	3
X110702414	3
X110697403	3
X110732723	3
X110724770	3
X110716857	3
X110687856	3
X110732312	3
X110728069	3
X110733539	3
X110697822	3
X110682574	3
X110699031	3
X110706032	3
X110723446	3
X110707762	3
X110710349	3
X110708120	3
X110691099	3
X110701979	3
X110689372	3
X110736201	3
X110702874	3
X110689194	3
X110689198	3
X110682075	3
X110720415	3
X110685531	3
X110701087	3
X110682312	3
X110692330	3
X110723276	3
X110739667	3
X110735663	3
X110686448	3
X110708763	3
X110717822	3
X110698123	3
X110738408	3
X110721099	3
X110718289	3
X110711439	3
X110721806	3
X110709804	3
X110735553	3
X110689005	3
X110738374	3
X110714376	3
X110682499	3
X110682979	3
X110731199	3
X110738342	3
X110713916	3
X110702521	3
X110685049	3
X110685863	3
X110708669	3
X110736365	3
X110702360	3
X110740278	3
X110701407	3
X110690184	3
X110693222	3
X110732696	3
X110714518	3
X110740092	3
X110731393	3
X110704688	3
X110720603	3
X110693537	3
X110693831	3
X110682558	3
X110702443	3
X110731241	3
X110706487	3
X110688300	3
X110689232	3
X110687283	3
X110707912	3
X110694538	3
X110736417	3
X110698785	3
X110690927	3
X110732302	3
X110707793	3
X110739846	3
X110708318	3
X110733537	3
X110731108	3
X110718484	3
X110738041	3
X110690470	3
X110721072	3
X110699364	3
X110726667	3
X110710448	3
X110693176	3
X110721788	3
X110705708	3
X110733397	3
X110739519	3
X110739715	3
X110725219	3
X110711864	3
X110685939	3
X110710135	3
X110715317	3
X110700533	3
X110736874	3
X110699383	3
X110690407	3
X110706816	3
X110696622	3
X110725619	3
X110729345	3
X110714469	3
X110684313	3
X110707760	3
X110698619	3
X110713033	3
X110724531	3
X110705121	3
X110708354	3
X110693711	3
X110720023	3
X110721485	3
X110682235	3
X110700018	3
X110739769	3
X110722005	3
X110691380	3
X110682328	3
X110726510	3
X110735235	3
X110683018	3
X110697180	3
X110707004	3
X110699375	3
X110706852	3
X110720588	3
X110738047	3
X110694887	3
X110683259	3
X110693841	3
X110683492	3
X110685810	3
X110709817	3
X110690152	3
X110702190	3
X110711434	3
X110687668	3
X110709378	3
X110693174	3
X110703428	3
X110713460	3
X110715336	3
X110710928	3
X110727747	3
X110701035	3
X110694192	3
X110692653	3
X110709610	3
X110685985	3
X110684623	3
X110695416	3
X110695900	3
X110732320	4
X110687007	4
X110722781	4
X110682990	4
X110737704	4
X110695111	4
X110681949	4
X110730610	4
X110699198	4
X110720369	4
X110704624	4
X110731351	4
X110709114	4
X110686976	4
X110712161	4
X110695139	4
X110732325	4
