ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0072596	establishment of protein localization to chloroplast	6/381	67/21192	0.0895522388059701	4.9810788576801	4.41602539025084	0.00128652427993982	0.0233964063390543	0.0201500150288506	MDH/EMB2458/PSB29/bL35c/54CP/CPFTSY	6
BP	GO:0042761	very long-chain fatty acid biosynthetic process	4/381	27/21192	0.148148148148148	8.24030329542141	5.09355785880389	0.00130094757225103	0.0233964063390543	0.0201500150288506	PAS2/CYP86B1/ELO1/CER26	4
BP	GO:0045491	xylan metabolic process	6/381	68/21192	0.0882352941176471	4.90782769800834	4.3671038811125	0.00139002488248394	0.0242975045103383	0.0209260804395258	IRX9/GUX2/NA/BXL6/IRX15-L/TBL31	6
BP	GO:0005996	monosaccharide metabolic process	9/381	147/21192	0.0612244897959184	3.40543146392415	3.95976058767126	0.00139394333024889	0.0242975045103383	0.0209260804395258	BGAL3/SBPASE/GAPA-2/BGAL6/FRK3/AtFBA1/CSP41A/PAF2/CRB	9
BP	GO:0032787	monocarboxylic acid metabolic process	19/381	488/21192	0.0389344262295082	2.16561249515942	3.52475321083364	0.00144136737756417	0.0247434733148517	0.0213101684051354	PAS2/EMB3147/NA/AtFaTA/ACLA-1/ATLOX2/AtFAP1/CYP86B1/ELO1/FRK3/LACS2/AtFBA1/ATLOX6/CYP86A8/AAE16/CER26/AtCER6/ATKAS2/KAT5	19
BP	GO:1901463	regulation of tetrapyrrole biosynthetic process	4/381	28/21192	0.142857142857143	7.94600674915635	4.97630601483843	0.00149645790617286	0.0253057732491619	0.0217944458605223	ATLFNR1/ELIP2/GBP/LIL3:1	4
BP	GO:0016051	carbohydrate biosynthetic process	14/381	313/21192	0.0447284345047923	2.48788709717995	3.58821979913317	0.0016982437640779	0.0281038003192835	0.0242042299400528	ASFT/BGLC3/CESA4/ACLA-1/IRX9/GUX2/SBPASE/FRK3/AtFBA1/ATCESA7/IRX15-L/AtPPa1/PTST/TBL31	14
BP	GO:0010257	NADH dehydrogenase complex assembly	4/381	29/21192	0.137931034482759	7.67200651642683	4.86472823560696	0.00171152888087428	0.0281038003192835	0.0242042299400528	NDH-O/NdhN/CRR41/PAM68L	4
BP	GO:0048564	photosystem I assembly	4/381	31/21192	0.129032258064516	7.17703835407671	4.65677001899715	0.0022042713030745	0.0351515055924225	0.0302740239551964	OE23/NA/PPD1/EDA3	4
BP	GO:0044550	secondary metabolite biosynthetic process	8/381	128/21192	0.0625	3.47637795275591	3.80227242166906	0.00223078563384785	0.0351515055924225	0.0302740239551964	ASFT/PER72/CER4/ATPRR1/CYP86B1/CCoAOMT1/CYP84A1/ATLAC17	8
