ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0009579	thylakoid	45/127	88/498	0.511363636363636	2.00518969219757	6.07422023445194	8.02241157289916e-09	5.29479163811345e-08	2.61783956589341e-08	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/STN8/ATLOX2/PAM68L/ATNDPK2/PSAL/HCF136/NA/PRK/EMB3143/LHCB4.2/RIQ2/CURT1A/ARRPS1/CSP41A	45
CC	GO:0031976	plastid thylakoid	40/127	74/498	0.540540540540541	2.11959991487551	6.10082950638818	9.16696343503116e-09	5.5001780610187e-08	2.71938628216235e-08	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/NA/PRK/LHCB4.2/RIQ2/CURT1A/CSP41A	40
CC	GO:0009534	chloroplast thylakoid	39/127	73/498	0.534246575342466	2.09491964189408	5.9189178422147	2.41611380641113e-08	1.32886259352612e-07	6.57013403497764e-08	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/LHCA3/LHCA2/ACSF/PETC/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/NA/PRK/LHCB4.2/RIQ2/CURT1A/CSP41A	39
CC	GO:0031967	organelle envelope	50/127	106/498	0.471698113207547	1.84965086911306	5.76293213291864	3.08948215170405e-08	1.56850632317283e-07	7.75497544152435e-08	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/NA/LHCA3/LHCA2/ACSF/bL9c/PETC/AtFAP1/CP33B/CHLM/PSAF/DEG1/ATLOX2/NA/PAM68L/ATNDPK2/PSAL/HCF136/MEX1/At-NEET/NA/PRK/PRPL3/LHCB4.2/NA/RIQ2/CURT1A/CSP41A	50
CC	GO:0009526	plastid envelope	48/127	102/498	0.470588235294118	1.84529874942103	5.59571799493627	7.73426713777946e-08	3.64615450781031e-07	1.80272391933205e-07	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/NA/LHCA3/LHCA2/ACSF/bL9c/PETC/AtFAP1/CP33B/CHLM/PSAF/DEG1/ATLOX2/NA/PAM68L/ATNDPK2/PSAL/HCF136/MEX1/NA/PRK/PRPL3/LHCB4.2/RIQ2/CURT1A/CSP41A	48
CC	GO:0043228	membraneless organelle	49/127	109/498	0.44954128440367	1.76276818608683	5.26652462675698	3.59603723356749e-07	1.48336535884659e-06	7.33402330530211e-07	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/LHCA3/LHCA2/ACSF/bL9c/u18-L8/PETC/CP33B/CHLM/PSAF/DEG1/STN8/ATLOX2/PAM68L/ATNDPK2/PSAL/HCF136/NA/PDE312/PRK/HMR/EMB3143/LHCB4.2/RIQ2/CURT1A/ARRPS1/CSP41A	49
CC	GO:0043232	intracellular membraneless organelle	49/127	109/498	0.44954128440367	1.76276818608683	5.26652462675698	3.59603723356749e-07	1.48336535884659e-06	7.33402330530211e-07	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/STR10/NdhN/LHCA3/LHCA2/ACSF/bL9c/u18-L8/PETC/CP33B/CHLM/PSAF/DEG1/STN8/ATLOX2/PAM68L/ATNDPK2/PSAL/HCF136/NA/PDE312/PRK/HMR/EMB3143/LHCB4.2/RIQ2/CURT1A/ARRPS1/CSP41A	49
CC	GO:0009570	chloroplast stroma	38/127	86/498	0.441860465116279	1.73264969785754	4.36606394928436	2.40549457937163e-05	9.3389789552075e-05	4.6173580161313e-05	LHCA1/SBPASE/PSBQ/TL17/RBCS1A/NA/NA/MET1/NA/ACA1/NA/LHCB2/OE23/NA/LHCA3/bL9c/AtFAP1/CP33B/PSAF/NA/ATLOX2/NA/ATNDPK2/PSAL/HCF136/At-NEET/NA/PDE312/PRK/HMR/PRPL3/NA/ATPGLP1/CURT1A/ARRPS1/CSP41A/ACHT1/PYRR	38
CC	GO:0009507	chloroplast	81/127	239/498	0.338912133891213	1.32896254077027	4.12181614262614	2.71529391252734e-05	9.9560776792669e-05	4.92246264844137e-05	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/TROL/PSBQ/TL17/ATFXG1/EDA3/PSAK/LHCB4.3/RBCS1A/ASA3/NA/NA/PSAH-2/NA/cpLEPA/MET1/NA/LACS2/PSAD-2/ACA1/NA/LHCB2/OE23/PSBW/STR10/NdhN/NA/NA/LHCA3/NA/LHCA2/ACSF/AtLtpI-5/bL9c/u18-L8/PETC/AtFAP1/CP33B/CHLM/KAT5/PSAF/DEG1/NA/STN8/ATLOX2/NA/NA/PAM68L/ATNDPK2/SIBP1/GRXS6/PSAL/HCF136/MEX1/SAUR1/At-NEET/NA/PDE312/PRK/AtSWEET17/HMR/PRPL3/EMB3143/LHCB4.2/NA/ATPGLP1/RIQ2/CURT1A/ARRPS1/ATHPR1/NA/CSP41A/ACHT1/PYRR/ATCESA7	81
CC	GO:0009941	chloroplast envelope	31/127	66/498	0.46969696969697	1.84180386542591	4.29174697817027	3.94452687198378e-05	0.000137020407132068	6.77453368595553e-05	CAB4/LHCA1/CP24/NA/SBPASE/TROL/RBCS1A/MET1/PSAD-2/LHCB2/OE23/STR10/NdhN/NA/ACSF/bL9c/PETC/AtFAP1/CHLM/PSAF/ATLOX2/NA/ATNDPK2/PSAL/HCF136/MEX1/PRK/PRPL3/LHCB4.2/CURT1A/CSP41A	31
