ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0033993	response to lipid	10/46	23/381	0.434782608695652	3.60113421550095	4.76248342480779	8.79654237079953e-05	0.0135466752510313	0.0135466752510313	ATLOX2/MLP423/LTP3/AtNPF6.2/ANNAT4/SQE3/AMY1/ATVSP1/GASA1/GASA4	10
BP	GO:1901700	response to oxygen-containing compound	15/46	52/381	0.288461538461538	2.38921404682274	3.98952507854711	0.000314846990101546	0.0173827647066587	0.0173827647066587	ATLOX2/MLP423/LTP3/AtNPF6.2/ANNAT4/ATCDSP32/SQE3/CEPR2/AtNPF6.4/AMY1/ATVSP1/ATPCAP1/GASA1/GASA4/BT3	15
BP	GO:0009719	response to endogenous stimulus	12/46	37/381	0.324324324324324	2.68625146886016	3.99477471523769	0.000451500381991136	0.0173827647066587	0.0173827647066587	ATLOX2/MLP423/LTP3/AtNPF6.2/ANNAT4/SQE3/AMY1/ATVSP1/GASA1/PIN5/GASA4/BT3	12
BP	GO:0009725	response to hormone	12/46	37/381	0.324324324324324	2.68625146886016	3.99477471523769	0.000451500381991136	0.0173827647066587	0.0173827647066587	ATLOX2/MLP423/LTP3/AtNPF6.2/ANNAT4/SQE3/AMY1/ATVSP1/GASA1/PIN5/GASA4/BT3	12
