ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0031978	plastid thylakoid lumen	4/258	53/26902	0.0754716981132075	7.86953342109112	4.92601206105996	0.00167368898227074	0.00905761096287694	0.00663257553345679	DEG1/PSBQ/NA/TL17	4
CC	GO:0010287	plastoglobule	4/258	60/26902	0.0666666666666667	6.95142118863049	4.54133174937301	0.00264527209010222	0.0135202795716335	0.00990043355359894	LHCA3/PSAL/LHCB2/LHCA1	4
CC	GO:0009538	photosystem I reaction center	2/258	11/26902	0.181818181818182	18.9584214235377	5.86212908884532	0.00475951069130329	0.0226689434366947	0.0165996839811036	PSAL/PSAD-2	2
CC	GO:0009523	photosystem II	3/258	36/26902	0.0833333333333333	8.68927648578811	4.5428623226636	0.00492803118189014	0.0226689434366947	0.0165996839811036	LHCB2/PSBR/PSB28	3
CC	GO:0009706	chloroplast inner membrane	4/258	79/26902	0.0506329113924051	5.27956039642822	3.74846433798582	0.00707720579989143	0.0310049015995244	0.0227038181049149	ABAR/ATCAO/ACSF/NA	4
CC	GO:0009986	cell surface	2/258	15/26902	0.133333333333333	13.902842377261	4.91874378068878	0.0088597739174604	0.0370499636548344	0.0271304081682998	JK224/ANNAT4	2
MF	GO:0051213	dioxygenase activity	9/257	132/26722	0.0681818181818182	7.0893172974885	6.91119851190073	5.55020778006146e-06	0.00163731129511813	0.00137294613506783	LBO1/F3'H/ATLOX2/HPD/JAO2/ATLOX6/ATFLS1/AtDAO/ACO5	9
MF	GO:0042562	hormone binding	5/257	35/26722	0.142857142857143	14.8538076709283	8.08184030256405	2.02936232621318e-05	0.00216730238806043	0.00181736328704443	ATGER3/MLP423/CEPR2/PYL9/PYL3	5
MF	GO:0016798	hydrolase activity, acting on glycosyl bonds	15/257	445/26722	0.0337078651685393	3.50483102347746	5.25082464015056	3.02206597116491e-05	0.00216730238806043	0.00181736328704443	ATBFRUCT1/BGLC3/ChiC/AGLU1/XTH9/NA/BGAL8/NA/ATCHITIV/NA/NA/BGLU40/LOG3/NSH1/AMY1	15
MF	GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	5/257	39/26722	0.128205128205128	13.3303402174997	7.5935874923612	3.48807594481904e-05	0.00216730238806043	0.00181736328704443	ATLOX2/AtLigB/HPD/ATCAO/ATLOX6	5
MF	GO:0005506	iron ion binding	8/257	129/26722	0.062015503875969	6.44816457032546	6.11249296131489	3.67339387806853e-05	0.00216730238806043	0.00181736328704443	AtLigB/HPD/CYP86B1/ATCAO/NA/CYP78A9/D27-LIKE1/ATPAP8	8
MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	13/257	375/26722	0.0346666666666667	3.60452399481193	5.00536067234916	7.73331907268698e-05	0.00298045927686223	0.00249922544179349	ATBFRUCT1/BGLC3/ChiC/AGLU1/XTH9/NA/BGAL8/NA/ATCHITIV/NA/NA/BGLU40/AMY1	13
MF	GO:0060089	molecular transducer activity	10/257	228/26722	0.043859649122807	4.56037954809202	5.32043229770999	7.79128628654242e-05	0.00298045927686223	0.00249922544179349	ATGER3/LecRK-II.1/JK224/ARK3/MLP423/TMK3/CEPR2/PYL9/APRR2/PYL3	10
